Word 1,Word 2
debout,tout
partout,debout
encore,l’aurore
habitude,solitude
risquer,l’expliquer
licence,silence
l’amour,tour
mouvements,sentiments
soleils,pareils
visage,témoignage
amoureux,généreux
monarque,marque
présumer,d’aimer
belle,elle
cœurs,ardeurs
enfance,l’espérance
lumière,fière
jour,d’amour
invincible,sensible
rempli,accompli
puissance,vengeance
abîmé,aimé
guide,d’élide
charmants,sentiments
fête,conquête
aimer,charmer
flammes,âmes
lieux,yeux
revêtue,statue
loisir,désir
rivage,image
cour,l’amour
hautaine,haine
carquois,bois
fatalité,beauté
naître,maître
douceurs,froideurs
victoire,gloire
s’indigner,régner
puissance,diligence
enflammés,renommés
prenez,obstinez
princesse,adresse
soupirs,désirs
politique,s’explique
amour,jour
peine,hautaine
soumis,ennemis
silence,violence
fameux,d’eux
presse,tendresse
puissamment,aisément
indifférence,patience
yeux,glorieux
autres,vôtres
appas,pas
caprice,propice
extrémités,rebutés
confidence,silence
l’adore,l’aurore
connaître,paraître
bouffonneries,plaisanteries
persuader,hasarder
souhaite,parfaite
redoutable,effroyable
bête,prête
extravagances,complaisances
chasseurs,peurs
chasse,passe
vilaines,humaines
courir,souffrir
tour,jour
pénible,horrible
enharnaché,découché
homme,somme
chassé,hérissé
menace,grimace
presser,penser
armes,d’alarmes
quatre,l’abattre
consens,sens
prier,sanglier
place,audace
effort,sort
gloire,l’histoire
amis,remis
rencontré,gré
prérogatives,tentatives
lien,rien
tigresse,adresse
belle,cruelle
généreux,dangereux
père,mère
l’avantage,village
alarmes,charmes
clairement,sentiment
murmure,aventure
parler,m’ébranler
charmes,armes
emplois,bois
profité,vanité
quête,bête
gloire,croire
envie,vie
jours,secours
dire,inspire
esprit,l’aigrit
salaire,défaire
dédains,desseins
possible,sensible
faire,contraire
dédaigner,gagner
elle,nouvelle
mouvement,événement
admirable,capable
structure,nature
frais,jamais
tranquilles,villes
embellis,d’élis
multitude,solitude
magnifique,publique
présence,magnificence
m’acquérir,courir
sorte,l’emporte
s’effaroucher,toucher
donne,personne
être,paraître
entretien,rien
jour,l’amour
suivre,vivre
pris,cloris
conquêtes,bêtes
mortelle,cruelle
pareille,oreille
émaillés,dépouillés
seconde,monde
trois...,unissons-nous...
d’importance,excellence
rogne,tigne
profondes,ondes
humides,néréides
divinités,beautés
cour,jour
assurance,l’inconstance
effort,fort
bergère,sévère
affaires,mystères
tircis,soucis
former,enflammer
contrainte,crainte
amoureux,heureux
entière,sévère
vainqueurs,cœurs
soupirer,expirer
tendre,défendre
défendre,rendre
amitié,pitié
rigueur,ardeur
préférence,indifférence
querelles,belles
tendresse,cesse
vieillissants,innocents
couronné,fortuné
voix,choix
cieux,précieux
subsiste,triste
glorieux,dieux
clartés,vantés
asseoir,voir
incomparable,inséparable
garde,regarde
puissance,silence
chose,soppose
soppose,dispose
chose,s’oppose
s’oppose,oppose
éternelle,cruelle
cruelle,rebelle
bien,rien
malato,disperato
ridete,volete
vicino,vino
male,servitiale
droit,endroit
auteurs,glossateurs
papinian,tribonian
imole,barthole
policés,sensés
hollandais,polonais
flamands,allemands
s’assemble,semble
honneur,bonheur
inquiétude,solitude
secrètes,êtes
d’aimer,charmer
inhumaines,saines
m’empresse,tendresse
elle,cruelle
danara,comprara
accina,matina
caldara,parlara
parlara,comprara
soupire,rire
comprara,bastonara
bastonara,andara
adoro,ristoro
muoro,adoro
martoro,adoro
desiri,sospiri
preggiate,m’ingannate
prova,trova
fede,crede
voleur,peur
prison,raison
croire,boire
belle,polichinelle
l’efface,glace
glace,place
passe-temps,printemps
jeunesse,tendresse
attendre,rendre
s’engage,volage
malheur,douleur
rage,volage
rigueurs,ardeurs
supplices,délices
doctores,professores
argentum,appetitum
vivere,genere
videmus,sumus
sapientiæ,prudentiæ
travaillare,conservare
estis,trovabitis
medici,voici
interrogandum,examinandum
doctores,illustres
facultatis,actis
actis,assistantis
remedia,maladia
donare,seignare
seignare,purgare
eticis,asmaticis
unus,manus
redoublamentis,capitis
côté,difficultaté
bacheliere,facere
omnibus,consultationibus
medicandi,purgandi
purgandi,seignandi
seignandi,perçandi
perçandi,taillandi
taillandi,coupandi
coupandi,occidendi
m’engageare,donare
donare,adjoutare
chirurgorum,apotiquarum
pluresias,dissenterias
tue,combattue
vérité,qualité
heure,demeure
comtesse,tigresse
janneton,mouton
soupire,dire
enflammer,d’aimer
belle,éternelle
convie,vie
versez,assez
giourdina,mattina
mattina,paladina
paladina,giourdina
giourdina,scarcina
scarcina,brigantina
brigantina,palestina
fabola,schiabbola
dara,bastonara
honta,affronta
monsieur,serviteur
crient,prient
charité,côté
gosieir,crieir
lifre,ifre
fille,gentille
famille,s’habille
sommet,met
honte,monte
fatras,embarras
embarras,bras
salle,halle
adolezco,padezco
advertida,vida
muerte,fuerte
dulçura,locura
puoco,fuoco
piace,vivace
cantiamo,godiamo
retour,séjour
séjour,l’amour
heureux,deux
deux,veux
veux,eux
contester,l’emporter
miracle,d’obstacle
affaires,contraires
désespérer,rassurer
fertile,difficile
misérables,incomparables
invective,captive
chimères,affaires
manière,visière
mariage,sage
puissance,obéissance
éclatera,régalera
rhétorique,politique
salaires,affaires
l’encolure,nature
certain,humain
chagrins,badins
servir,ravir
paraître,naître
déclarer,préparer
tête,conquête
inventions,prétentions
affaire,nécessaire
dire,pire
frivoles,pistoles
rêver,trouver
esclave,brave
attendre,vendre
vécu,d’écu
moment,sentiment
elle,sentinelle
repos,propos
vue,pourvue
étonne,personne
outragé,congé
injure,blessure
haut,faut
troubler,parler
talonne,personne
garçon,soupçon
lui-même,extrême
humilité,vanté
peut-être,connaître
l’avenir,l’entretenir
sers,fers
dévore,adore
misérable,redoutable
bouche,touche
soupire,instruire
l’adversité,fierté
connaître,naître
magique,pique
prendre,rendre
éclaire,faire
inquiéter,visiter
liberté,arrêté
croire,contradictoire
manigance,licence
