Word 1,Word 2
debout,tout
partout,debout
encore,l’aurore
habitude,solitude
cœur,langueur
âge,langage
risquer,l’expliquer
licence,silence
l’amour,tour
honte,dompte
mouvements,sentiments
âme,flamme
soleils,pareils
visage,témoignage
amoureux,généreux
monarque,marque
présumer,d’aimer
belle,elle
cœurs,ardeurs
enfance,l’espérance
lumière,fière
jour,d’amour
invincible,sensible
rempli,accompli
puissance,vengeance
abîmé,aimé
guide,d’élide
charmants,sentiments
fête,conquête
aimer,charmer
charmer,flammes
flammes,âmes
lieux,yeux
revêtue,statue
loisir,désir
rivage,image
cour,l’amour
hautaine,haine
carquois,bois
fatalité,beauté
naître,maître
secrets,traits
douceurs,froideurs
victoire,gloire
s’indigner,régner
puissance,diligence
enflammés,renommés
prenez,obstinez
princesse,adresse
soupirs,désirs
politique,s’explique
amour,jour
peine,hautaine
soumis,ennemis
pyle,inutile
vertus,assidus
silence,violence
fameux,d’eux
cœur,froideur
presse,tendresse
puissamment,aisément
indifférence,patience
yeux,glorieux
autres,vôtres
appas,pas
caprice,propice
extrémités,rebutés
pressentir,m’applaudir
confidence,silence
ici,éclairci
l’adore,l’aurore
connaître,paraître
aujourd’hui,lui
bouffonneries,plaisanteries
persuader,hasarder
souhaite,parfaite
moi,effroi
redoutable,effroyable
pas,gras
bête,prête
extravagances,complaisances
chasseurs,peurs
chasse,passe
doux,nous
vilaines,humaines
courir,souffrir
tour,jour
récit,dit
pénible,horrible
enharnaché,découché
homme,somme
vue,touffue
cause,chose
chassé,hérissé
menace,grimace
presser,penser
armes,d’alarmes
quatre,l’abattre
consens,sens
prier,sanglier
place,audace
effort,sort
gloire,l’histoire
amis,remis
rencontré,gré
prérogatives,tentatives
délicat,d’état
glorifie,philosophie
lien,rien
tigresse,adresse
trame,flamme
belle,cruelle
généreux,dangereux
père,mère
d’aujourd’hui,lui
l’avantage,village
alarmes,charmes
clairement,sentiment
puissance,offense
bonheur,cœur
murmure,aventure
extrême,aime
parler,m’ébranler
charmes,armes
emplois,bois
l’espérance,défense
profité,vanité
quête,bête
gloire,croire
envie,vie
jours,secours
dire,inspire
esprit,l’aigrit
salaire,défaire
dédains,desseins
possible,sensible
faire,contraire
dédaigner,gagner
elle,nouvelle
mouvement,événement
blême,j’aime
admirable,capable
abois,philis
structure,nature
frais,jamais
tranquilles,villes
villes,embellis
embellis,d’élis
multitude,solitude
magnifique,publique
présence,magnificence
m’acquérir,courir
sorte,l’emporte
s’effaroucher,toucher
donne,personne
être,paraître
entretien,rien
jour,l’amour
suivre,vivre
pris,cloris
conquêtes,bêtes
vous,doux
mortelle,cruelle
fidèle,elle
pareille,oreille
émaillés,dépouillés
rigueur,cœur
promptement,amant
bien,moyen
seconde,monde
trois...,unissons-nous...
d’importance,excellence
rogne,tigne
peste,goutte
dispense,assurance
profondes,ondes
humides,néréides
divinités,beautés
cour,jour
fortune,neptune
assurance,l’inconstance
inébranlable,favorable
hélas,pas
effort,fort
bergère,sévère
affaires,mystères
cœur,l’honneur
tircis,soucis
soupire,martyre
former,enflammer
contrainte,crainte
amoureux,heureux
entière,sévère
vainqueurs,cœurs
yeux,oiseaux
soupirer,expirer
tendre,défendre
défendre,rendre
amitié,pitié
rigueur,ardeur
préférence,indifférence
sortez,retraites
amour,ardeur
aimons-nous,doux
querelles,belles
tendresse,cesse
soucie,d’envie
vieillissants,innocents
couronné,fortuné
voix,choix
cieux,précieux
subsiste,triste
glorieux,dieux
clartés,vantés
asseoir,voir
incomparable,inséparable
vœux,feux
doux,glougloux
glougloux,jaloux
remplie,mie
videz-vous,jaloux
garde,regarde
cœur,voleur
voleur,yeux
puissance,silence
chose,soppose
soppose,dispose
chose,s’oppose
s’oppose,oppose
éternelle,cruelle
cruelle,rebelle
rebelle,fidèle
fidèle,éternelle
bien,rien
guarirui,qui
pazzia,malinconia
malato,disperato
d’allegria,pazzia
ridete,volete
vicino,vino
tabac,pourceaugnac
su,monsù
male,servitiale
droit,endroit
auteurs,glossateurs
papinian,tribonian
imole,barthole
policés,sensés
hollandais,polonais
flamands,allemands
embarras,cas
réjouir,plaisir
s’assemble,semble
honneur,bonheur
inquiétude,solitude
secrètes,êtes
d’aimer,charmer
inhumaines,saines
m’empresse,tendresse
tigresse,aussi
aussi,ainsi
elle,cruelle
danara,comprara
accina,matina
caldara,parlara
parlara,comprara
soupire,rire
comprara,bastonara
bastonara,andara
adoro,ristoro
nò,morirò
muoro,adoro
dormite,pensate
pensate,ferite
ferite,fate
fate,fingete
martoro,adoro
desiri,sospiri
preggiate,m’ingannate
prova,trova
fede,crede
misero,piangere
piangere,libero
libero,ridere
voleur,peur
prison,raison
croire,boire
passer,recommencer
charmant,contentement
belle,polichinelle
philis,tircis
d’appas,hélas
assujettir,mourir
mourir,consentir
l’efface,glace
glace,place
passe-temps,printemps
jeunesse,tendresse
attendre,rendre
coûte,redoute
tendrement,amant
s’engage,volage
malheur,douleur
rage,volage
rigueurs,ardeurs
supplices,délices
doctores,professores
argentum,appetitum
confréri,admirari
inventio,professio
trovata,benedicta
solo,miraculo
tempore,vivere
vivere,genere
videmus,sumus
petiti,infatuti
remedios,deos
ordonnanciis,videtis
videtis,sapientiæ
sapientiæ,prudentiæ
travaillare,conservare
conservare,honore
honore,recevere
recevere,corpore
estis,trovabitis
medici,voici
interrogandum,examinandum
præses,doctores
doctores,illustres
bacheliero,honoro
quare,dormire
dormire,doctore
doctore,quare
assoupire,respondere
respondere,entrare
entrare,corpore
corpore,respondere
præsidis,facultatis
facultatis,actis
actis,assistantis
remedia,maladia
maladia,hidropisia
facere,donare
donare,seignare
seignare,purgare
purgare,respondere
facultati,præsenti
eticis,asmaticis
maladias,maravillas
præsidem,facultatem
facultatem,honorabilem
honorabilem,écoutantem
écoutantem,questionem
unus,manus
redoublamentis,capitis
côté,difficultaté
respirare,dire
dire,bacheliere
